cycle,chI,chV,chT,disI,disV,BCt,SOH,battery_id,RUL
1,0.03666542547987656,0.6692195953924868,0.4793657563178759,0.9862823544718433,0.6058727051888071,0.7954292339167403,1.0,B18,131
2,0.03996323855810863,0.672687045541131,0.48707823143072854,0.9847003718614576,0.6073671777837456,0.7820330557209395,0.9853015209655082,B18,130
3,0.03770538782204025,0.6743096239521659,0.45614930136200366,0.9859034395881318,0.6092654646309923,0.7779563560514783,0.9808285075623079,B18,129
4,0.04062193043168342,0.6740486376923247,0.43093106248747814,0.9843977027430741,0.6067258672374027,0.7678281168280706,0.9697156580834868,B18,128
5,0.0429767242085488,0.6764126409049772,0.48853204979351394,0.9829937624767447,0.6060615149988138,0.7701271051078289,0.9722381410287381,B18,127
6,0.043586382386176556,0.6775714759391919,0.4920748915652824,0.9828085080185969,0.6070675169306594,0.7653951355078433,0.9670461560505884,B18,126
7,0.046751278809872635,0.6787181249883657,0.4723071960618782,0.981210012740733,0.605901449935721,0.7570825604204235,0.9579254793277817,B18,125
8,0.04692284828516908,0.6774329085750463,0.45468837155081115,0.9810567705343051,0.6049154988338772,0.7502407599014944,0.9504185575762548,B18,124
9,0.047226353379467644,0.6767981486408985,0.4456855909094339,0.9809058126174487,0.6036383431443166,0.7379075539839731,0.9368863869857126,B18,123
10,0.044213663047415135,0.6766341218956835,0.44672567018748827,0.9824349564898879,0.6057790337870468,0.7592368420136552,0.9602891880191508,B18,122
11,0.04755478389069222,0.6775959325541934,0.4661275326230729,0.9807890803380218,0.6046720151014627,0.7467868834430093,0.9466289147414957,B18,121
12,0.05096347911898826,0.6775375278122987,0.4558498120785787,0.9790978706022517,0.603279919003281,0.7383540401052985,0.9373762779678727,B18,120
13,0.05439236243788403,0.6770888837030998,0.43463319960195185,0.9774081788404037,0.6013428546399416,0.7226456046086582,0.9201407570277004,B18,119
14,0.05467613439478534,0.6757702273102256,0.41665687380388144,0.9772272957521421,0.599459786224192,0.7142809241258872,0.9109629095170819,B18,118
15,0.05433738164283116,0.675713559138147,0.4311584304289348,0.9772092170201445,0.5994222546369787,0.7114084851135437,0.9078112281954659,B18,117
16,0.0579890793325869,0.6757409021033145,0.46299093040728506,0.9754547078770379,0.5976096566235588,0.7003712074199264,0.8957009686567977,B18,116
17,0.058575746101291494,0.6764508340097352,0.46642207936003344,0.9752539477329439,0.5981987149235849,0.6974459848856898,0.8924913724971851,B18,115
18,0.06510787400636861,0.6757388248146863,0.44574400104830114,0.9719999454890365,0.5941620631263358,0.6804299987698025,0.8738211882461481,B18,114
19,0.06570276562819383,0.6727776544466338,0.41898952656765276,0.9717310361644703,0.5922494395941484,0.672023218689731,0.8645971484529648,B18,113
20,0.06307323384538412,0.6716534659323007,0.4015130751803395,0.9730393734781018,0.5937209236545425,0.6623183735093003,0.8539488529964174,B18,112
21,0.06627261821022389,0.6719617976664742,0.394380387979351,0.9712991545824723,0.5910132811973308,0.6553439823179943,0.8462964508556483,B18,111
22,0.07591576245059016,0.6691438812190366,0.40193387752180354,0.9664311584506456,0.5841529323710561,0.6293415055078151,0.817766160003066,B18,110
23,0.07336873206081307,0.6701977843186097,0.39996121701047505,0.9677134519402661,0.5860033777990888,0.6326028836234535,0.8213445908924997,B18,109
24,0.07391704604363206,0.669897232255088,0.3955151961397342,0.9675028587486819,0.584835003382862,0.6281017684196706,0.8164059026720681,B18,108
25,0.06348552675751352,0.6714686245850159,0.4005655016846843,0.9726709594094064,0.5923860432472987,0.6754473807398474,0.8683541882122666,B18,107
26,0.0667526365741432,0.6715467027482848,0.43882561719120605,0.9708909370199722,0.5904184871135199,0.6567654387207238,0.8478560932274181,B18,106
27,0.0737650272406586,0.6733937049394944,0.46117492340380156,0.9674437957000989,0.5869843346837207,0.6448106438580223,0.8347391206787832,B18,105
28,0.07745121142648038,0.6720685085886743,0.4595265231553664,0.9655765901131712,0.584692804288618,0.633029807836957,0.8218130182685783,B18,104
29,0.07802751252058526,0.6689658712403697,0.44857068532429206,0.9653402479412847,0.582856238046745,0.6187607334817716,0.806156785036542,B18,103
30,0.08159221162751347,0.6700335312387935,0.4397572913005452,0.9634554152786978,0.581349286962174,0.6128264431681599,0.7996455965106595,B18,102
