battery_id,start_cycle,end_cycle,target_RUL
B18,1,10,122.0
B18,2,11,121.0
B18,3,12,120.0
B18,4,13,119.0
B18,5,14,118.0
B18,6,15,117.0
B18,7,16,116.0
B18,8,17,115.0
B18,9,18,114.0
B18,10,19,113.0
B18,11,20,112.0
B18,12,21,111.0
B18,13,22,110.0
B18,14,23,109.0
B18,15,24,108.0
B18,16,25,107.0
B18,17,26,106.0
B18,18,27,105.0
B18,19,28,104.0
B18,20,29,103.0
B18,21,30,102.0
B18,22,31,101.0
B18,23,32,100.0
B18,24,33,99.0
B18,25,34,98.0
B18,26,35,97.0
B18,27,36,96.0
B18,28,37,95.0
B18,29,38,94.0
B18,30,39,93.0
B18,31,40,92.0
B18,32,41,91.0
B18,33,42,90.0
B18,34,43,89.0
B18,35,44,88.0
B18,36,45,87.0
B18,37,46,86.0
B18,38,47,85.0
B18,39,48,84.0
B18,40,49,83.0
B18,41,50,82.0
B18,42,51,81.0
B18,43,52,80.0
B18,44,53,79.0
B18,45,54,78.0
B18,46,55,77.0
B18,47,56,76.0
B18,48,57,75.0
B18,49,58,74.0
B18,50,59,73.0
B18,51,60,72.0
B18,52,61,71.0
B18,53,62,70.0
B18,54,63,69.0
B18,55,64,68.0
B18,56,65,67.0
B18,57,66,66.0
B18,58,67,65.0
B18,59,68,64.0
B18,60,69,63.0
B18,61,70,62.0
B18,62,71,61.0
B18,63,72,60.0
B18,64,73,59.0
B18,65,74,58.0
B18,66,75,57.0
B18,67,76,56.0
B18,68,77,55.0
B18,69,78,54.0
B18,70,79,53.0
B18,71,80,52.0
B18,72,81,51.0
B18,73,82,50.0
B18,74,83,49.0
B18,75,84,48.0
B18,76,85,47.0
B18,77,86,46.0
B18,78,87,45.0
B18,79,88,44.0
B18,80,89,43.0
B18,81,90,42.0
B18,82,91,41.0
B18,83,92,40.0
B18,84,93,39.0
B18,85,94,38.0
B18,86,95,37.0
B18,87,96,36.0
B18,88,97,35.0
B18,89,98,34.0
B18,90,99,33.0
B18,91,100,32.0
B18,92,101,31.0
B18,93,102,30.0
B18,94,103,29.0
B18,95,104,28.0
B18,96,105,27.0
B18,97,106,26.0
B18,98,107,25.0
B18,99,108,24.0
B18,100,109,23.0
B18,101,110,22.0
B18,102,111,21.0
B18,103,112,20.0
B18,104,113,19.0
B18,105,114,18.0
B18,106,115,17.0
B18,107,116,16.0
B18,108,117,15.0
B18,109,118,14.0
B18,110,119,13.0
B18,111,120,12.0
B18,112,121,11.0
B18,113,122,10.0
B18,114,123,9.0
B18,115,124,8.0
B18,116,125,7.0
B18,117,126,6.0
B18,118,127,5.0
B18,119,128,4.0
B18,120,129,3.0
B18,121,130,2.0
B18,122,131,1.0
B18,123,132,0.0
B5,1,10,158.0
B5,2,11,157.0
B5,3,12,156.0
B5,4,13,155.0
B5,5,14,154.0
B5,6,15,153.0
B5,7,16,152.0
B5,8,17,151.0
B5,9,18,150.0
B5,10,19,149.0
B5,11,20,148.0
B5,12,21,147.0
B5,13,22,146.0
B5,14,23,145.0
B5,15,24,144.0
B5,16,25,143.0
B5,17,26,142.0
B5,18,27,141.0
