battery_id,cycle,chI,chV,chT,disI,disV,BCt,SOH,RUL
CLIENT_B1,1,0.052,0.724,0.421,0.922,0.604,0.972,0.982,119
CLIENT_B1,2,0.055,0.721,0.427,0.918,0.602,0.961,0.973,118
CLIENT_B1,3,0.058,0.719,0.433,0.913,0.599,0.948,0.963,117
CLIENT_B1,4,0.061,0.716,0.439,0.909,0.597,0.936,0.954,116
CLIENT_B1,5,0.064,0.713,0.446,0.904,0.594,0.923,0.943,115
CLIENT_B1,6,0.068,0.711,0.452,0.899,0.591,0.911,0.934,114
CLIENT_B1,7,0.071,0.708,0.458,0.893,0.588,0.897,0.922,113
CLIENT_B1,8,0.075,0.705,0.465,0.887,0.584,0.882,0.911,112
CLIENT_B1,9,0.079,0.702,0.471,0.881,0.581,0.869,0.900,111
CLIENT_B1,10,0.083,0.699,0.478,0.875,0.578,0.854,0.889,110
CLIENT_B1,11,0.087,0.696,0.484,0.868,0.574,0.839,0.876,109
CLIENT_B1,12,0.092,0.693,0.491,0.861,0.571,0.823,0.864,108
CLIENT_B1,13,0.097,0.690,0.498,0.854,0.568,0.807,0.851,107
CLIENT_B1,14,0.102,0.687,0.505,0.847,0.564,0.791,0.838,106
CLIENT_B1,15,0.108,0.684,0.512,0.839,0.561,0.774,0.824,105
CLIENT_B1,16,0.114,0.681,0.519,0.831,0.557,0.756,0.810,104
CLIENT_B1,17,0.120,0.678,0.526,0.823,0.553,0.738,0.795,103
CLIENT_B1,18,0.127,0.675,0.533,0.815,0.549,0.719,0.780,102
CLIENT_B1,19,0.134,0.672,0.540,0.807,0.545,0.700,0.764,101
CLIENT_B1,20,0.142,0.669,0.548,0.798,0.541,0.681,0.748,100
