battery_id,start_cycle,end_cycle,target_RUL,true_RUL,predicted_RUL
B6,1,10,158.0,158.0,167.56813
B6,2,11,157.0,157.0,164.71425
B6,3,12,156.0,156.0,162.01239
B6,4,13,155.0,155.0,159.1959
B6,5,14,154.0,154.0,156.15157
B6,6,15,153.0,153.0,153.21114
B6,7,16,152.0,152.0,149.72885
B6,8,17,151.0,151.0,146.2848
B6,9,18,150.0,150.0,143.39886
B6,10,19,149.0,149.0,141.65923
B6,11,20,148.0,148.0,154.56505
B6,12,21,147.0,147.0,152.36723
B6,13,22,146.0,146.0,151.1088
B6,14,23,145.0,145.0,148.61319
B6,15,24,144.0,144.0,151.61275
B6,16,25,143.0,143.0,146.57607
B6,17,26,142.0,142.0,143.72322
B6,18,27,141.0,141.0,142.40642
B6,19,28,140.0,140.0,140.75664
B6,20,29,139.0,139.0,139.0587
B6,21,30,138.0,138.0,138.48419
B6,22,31,137.0,137.0,140.19902
B6,23,32,136.0,136.0,133.7778
B6,24,33,135.0,135.0,128.96239
B6,25,34,134.0,134.0,124.70979
B6,26,35,133.0,133.0,120.42018
B6,27,36,132.0,132.0,118.24249
B6,28,37,131.0,131.0,114.66626
B6,29,38,130.0,130.0,111.124435
B6,30,39,129.0,129.0,108.252625
B6,31,40,128.0,128.0,105.01494
B6,32,41,127.0,127.0,101.241516
B6,33,42,126.0,126.0,97.89357
B6,34,43,125.0,125.0,102.63992
B6,35,44,124.0,124.0,98.41801
B6,36,45,123.0,123.0,93.81297
B6,37,46,122.0,122.0,90.261444
B6,38,47,121.0,121.0,87.77052
B6,39,48,120.0,120.0,101.31391
B6,40,49,119.0,119.0,100.149796
B6,41,50,118.0,118.0,96.91792
B6,42,51,117.0,117.0,93.61058
B6,43,52,116.0,116.0,91.888855
B6,44,53,115.0,115.0,88.51831
B6,45,54,114.0,114.0,86.507675
B6,46,55,113.0,113.0,84.26006
B6,47,56,112.0,112.0,82.66157
B6,48,57,111.0,111.0,81.05632
B6,49,58,110.0,110.0,77.5287
B6,50,59,109.0,109.0,74.06372
B6,51,60,108.0,108.0,70.91956
B6,52,61,107.0,107.0,67.21501
B6,53,62,106.0,106.0,64.94304
B6,54,63,105.0,105.0,63.076912
B6,55,64,104.0,104.0,60.582825
B6,56,65,103.0,103.0,58.88377
B6,57,66,102.0,102.0,56.15251
B6,58,67,101.0,101.0,54.37031
B6,59,68,100.0,100.0,52.266212
B6,60,69,99.0,99.0,50.15518
B6,61,70,98.0,98.0,47.64651
B6,62,71,97.0,97.0,47.052567
B6,63,72,96.0,96.0,45.645325
B6,64,73,95.0,95.0,43.86382
B6,65,74,94.0,94.0,42.530334
B6,66,75,93.0,93.0,41.17379
B6,67,76,92.0,92.0,39.539444
B6,68,77,91.0,91.0,38.24846
B6,69,78,90.0,90.0,41.284096
B6,70,79,89.0,89.0,38.828453
B6,71,80,88.0,88.0,37.268127
B6,72,81,87.0,87.0,35.93874
B6,73,82,86.0,86.0,35.458233
B6,74,83,85.0,85.0,34.65398
B6,75,84,84.0,84.0,33.776474
B6,76,85,83.0,83.0,32.116405
B6,77,86,82.0,82.0,31.67962
B6,78,87,81.0,81.0,30.9559
B6,79,88,80.0,80.0,30.025078
B6,80,89,79.0,79.0,29.026659
B6,81,90,78.0,78.0,41.826862
B6,82,91,77.0,77.0,38.826218
B6,83,92,76.0,76.0,36.745148
B6,84,93,75.0,75.0,35.827614
B6,85,94,74.0,74.0,34.8356
B6,86,95,73.0,73.0,34.322594
B6,87,96,72.0,72.0,33.736244
B6,88,97,71.0,71.0,33.03056
B6,89,98,70.0,70.0,32.688236
B6,90,99,69.0,69.0,32.322655
B6,91,100,68.0,68.0,29.80662
B6,92,101,67.0,67.0,28.143728
B6,93,102,66.0,66.0,26.789118
B6,94,103,65.0,65.0,25.98439
B6,95,104,64.0,64.0,27.81455
B6,96,105,63.0,63.0,25.989672
B6,97,106,62.0,62.0,24.422613
B6,98,107,61.0,61.0,23.681627
B6,99,108,60.0,60.0,22.958527
B6,100,109,59.0,59.0,21.9256
B6,101,110,58.0,58.0,21.540539
B6,102,111,57.0,57.0,20.862404
B6,103,112,56.0,56.0,20.187103
B6,104,113,55.0,55.0,19.149883
B6,105,114,54.0,54.0,18.73734
B6,106,115,53.0,53.0,17.903727
B6,107,116,52.0,52.0,17.14583
B6,108,117,51.0,51.0,16.431997
B6,109,118,50.0,50.0,15.726992
B6,110,119,49.0,49.0,15.085881
B6,111,120,48.0,48.0,16.794167
B6,112,121,47.0,47.0,18.267826
B6,113,122,46.0,46.0,16.590422
B6,114,123,45.0,45.0,15.918909
B6,115,124,44.0,44.0,15.097795
B6,116,125,43.0,43.0,14.638076
B6,117,126,42.0,42.0,14.17925
B6,118,127,41.0,41.0,13.385833
B6,119,128,40.0,40.0,12.844022
B6,120,129,39.0,39.0,12.333195
B6,121,130,38.0,38.0,11.574558
B6,122,131,37.0,37.0,10.8392315
B6,123,132,36.0,36.0,10.029974
B6,124,133,35.0,35.0,9.918587
B6,125,134,34.0,34.0,11.286086
B6,126,135,33.0,33.0,9.913388
B6,127,136,32.0,32.0,8.783472
B6,128,137,31.0,31.0,8.286725
B6,129,138,30.0,30.0,7.8085785
B6,130,139,29.0,29.0,7.611203
B6,131,140,28.0,28.0,6.8393
B6,132,141,27.0,27.0,6.037305
B6,133,142,26.0,26.0,5.7662516
B6,134,143,25.0,25.0,5.1835346
B6,135,144,24.0,24.0,4.629996
B6,136,145,23.0,23.0,3.6874616
B6,137,146,22.0,22.0,3.0664778
B6,138,147,21.0,21.0,2.5030975
B6,139,148,20.0,20.0,2.192833
B6,140,149,19.0,19.0,1.7267135
B6,141,150,18.0,18.0,1.7036088
B6,142,151,17.0,17.0,3.3380644
B6,143,152,16.0,16.0,2.0365791
B6,144,153,15.0,15.0,1.4163914
B6,145,154,14.0,14.0,0.80001
B6,146,155,13.0,13.0,0.56956285
B6,147,156,12.0,12.0,0.38394836
B6,148,157,11.0,11.0,0.29733345
B6,149,158,10.0,10.0,0.26939622
B6,150,159,9.0,9.0,0.264566
B6,151,160,8.0,8.0,0.25362498
B6,152,161,7.0,7.0,0.24939582
B6,153,162,6.0,6.0,0.24468972
B6,154,163,5.0,5.0,0.24016216
B6,155,164,4.0,4.0,0.22580388
B6,156,165,3.0,3.0,0.23383002
B6,157,166,2.0,2.0,0.23072839
B6,158,167,1.0,1.0,0.2458928
B6,159,168,0.0,0.0,0.25908527
