window_step,chI,chV,chT,disI,disV,BCt,SOH
1,0.041355517,0.04381042,0.010843407,0.17233463,0.023318965,1.4737027,1.5263575
2,0.041559953,0.04373528,0.0107450485,0.16742387,0.023091353,1.4601113,1.5192456
3,0.041765828,0.043605972,0.010669859,0.16242422,0.022855226,1.4467853,1.5125463
4,0.041970354,0.04343802,0.0105891265,0.15733914,0.022610208,1.4337122,1.506199
5,0.042173583,0.0432479,0.0104917195,0.15216303,0.022359015,1.4202013,1.499586
6,0.042398956,0.043069866,0.010379836,0.14689036,0.02211331,1.4074374,1.4934466
7,0.04261642,0.042820677,0.010265296,0.14155212,0.021850595,1.3932054,1.4860971
8,0.04282427,0.042587657,0.010162379,0.13613464,0.02158346,1.3788289,1.4784014
9,0.04300229,0.042339396,0.010072138,0.13062513,0.02132388,1.3666465,1.4728569
10,0.32504666,0.3251864,0.074237965,0.99437565,0.15788494,10.432475,11.183539
